gblup,EGBLUP,BA,BL,RF,RKHS
94.742,94.70435,94.661,94.702,93.242,94.735
93.847,93.67109,93.713,93.824,92.973,93.639
94.589,95.73315,94.628,94.568,94.998,94.896
95.215,95.00297,95.797,95.419,96.391,95.188
93.806,94.9889,93.78,93.854,96.2,94.483
95.097,96.20225,95.357,95.119,97.706,95.522
95.4,95.83322,95.501,95.413,96.593,95.528
94.452,95.18091,94.518,94.454,94.557,94.774
95.242,96.36487,95.502,95.251,97.924,95.699
94.216,94.5585,94.164,94.229,94.287,94.57
94.652,94.72527,94.597,94.623,95.168,94.761
94.698,94.84997,94.64,94.671,95.21,94.807
94.589,95.72108,94.628,94.568,94.998,94.896
94.216,94.61804,94.164,94.229,94.287,94.57
94.643,96.28672,94.83,94.643,97.182,94.875
95.024,95.87253,95.224,95.017,97.14,95.465
94.924,95.64484,95.135,94.968,93.844,95.189
95.242,96.42227,95.502,95.251,97.924,95.699
94.295,94.36207,94.522,94.3,94.891,94.187
94.216,94.59967,94.164,94.229,94.287,94.57
94.739,95.08937,94.743,94.733,95.525,94.923
94.698,94.83281,94.64,94.671,95.21,94.807
95.091,94.66078,95.603,95.276,95.718,94.99
94.567,95.74779,94.595,94.53,95.039,94.885
94.216,94.58229,94.164,94.229,94.287,94.57
94.739,95.08568,94.743,94.733,95.525,94.923
95.242,96.40906,95.502,95.251,97.924,95.699
95.242,96.34968,95.502,95.251,97.924,95.699
94.216,94.56675,94.164,94.229,94.287,94.57
94.216,94.62109,94.164,94.229,94.287,94.57
94.216,94.5815,94.164,94.229,94.287,94.57
94.698,94.87875,94.64,94.671,95.21,94.807
94.773,92.47958,94.818,94.717,91.452,93.504
94.698,94.80975,94.64,94.671,95.21,94.807
94.589,95.77944,94.628,94.568,94.998,94.896
94.216,94.6538,94.164,94.229,94.287,94.57
94.698,94.82955,94.64,94.671,95.21,94.807
93.806,94.93996,93.78,93.854,96.2,94.483
94.698,94.8593,94.64,94.671,95.21,94.807
93.823,92.58706,93.827,93.83,92.031,93.324
93.823,92.58361,93.827,93.83,92.031,93.324
94.216,94.60361,94.164,94.229,94.287,94.57
94.756,92.4189,94.796,94.688,91.408,93.609
94.664,93.11417,94.571,94.552,93.676,94.039
94.698,94.83033,94.64,94.671,95.21,94.807
94.589,95.72291,94.628,94.568,94.998,94.896
94.589,95.71951,94.628,94.568,94.998,94.896
94.739,95.09696,94.743,94.733,95.525,94.923
95.242,96.40733,95.502,95.251,97.924,95.699
95.242,96.3904,95.502,95.251,97.924,95.699
95.87,96.15468,96.194,95.875,96.422,95.859
95.067,95.15923,95.428,95.039,96.482,95.221
94.216,94.61316,94.164,94.229,94.287,94.57
95.073,94.48069,95.596,95.231,93.916,94.633
94.698,94.85265,94.64,94.671,95.21,94.807
94.654,94.50889,94.588,94.643,93.692,94.582
94.589,95.71071,94.628,94.568,94.998,94.896
94.589,95.74549,94.628,94.568,94.998,94.896
94.496,94.24478,94.29,94.445,95.137,94.539
95.242,96.38646,95.502,95.251,97.924,95.699
95.242,96.389,95.502,95.251,97.924,95.699
95.242,96.45192,95.502,95.251,97.924,95.699
93.823,92.57439,93.827,93.83,92.031,93.324
94.216,94.62433,94.164,94.229,94.287,94.57
94.698,94.83055,94.64,94.671,95.21,94.807
94.698,94.81843,94.64,94.671,95.21,94.807
93.806,94.986,93.78,93.854,96.2,94.483
93.847,93.72263,93.713,93.824,92.973,93.639
94.216,94.63891,94.164,94.229,94.287,94.57
94.703,96.13128,94.928,94.707,97.007,94.796
95.242,96.43061,95.502,95.251,97.924,95.699
94.698,94.82741,94.64,94.671,95.21,94.807
94.216,94.59997,94.164,94.229,94.287,94.57
93.823,92.56614,93.827,93.83,92.031,93.324
94.216,94.61371,94.164,94.229,94.287,94.57
94.773,92.41128,94.818,94.717,91.452,93.504
94.698,94.85,94.64,94.671,95.21,94.807
93.806,94.94731,93.78,93.854,96.2,94.483
93.847,93.7073,93.713,93.824,92.973,93.639
94.589,95.69904,94.628,94.568,94.998,94.896
94.643,96.3325,94.83,94.643,97.182,94.875
95.133,96.15591,95.363,95.134,97.456,95.586
94.839,94.27249,95.14,94.972,94.537,94.676
95.242,96.41745,95.502,95.251,97.924,95.699
95.242,96.42723,95.502,95.251,97.924,95.699
94.776,94.91319,94.746,94.744,95.538,94.891
94.23,93.21346,93.989,94.184,93.686,93.926
94.742,94.63875,94.661,94.702,93.242,94.735
94.589,95.74385,94.628,94.568,94.998,94.896
93.847,93.68833,93.713,93.824,92.973,93.639
94.589,95.72634,94.628,94.568,94.998,94.896
94.643,96.35704,94.83,94.643,97.182,94.875
93.808,94.97835,93.79,93.858,95.959,94.494
95.242,96.42534,95.502,95.251,97.924,95.699
95.242,96.4445,95.502,95.251,97.924,95.699
95.242,96.40092,95.502,95.251,97.924,95.699
95.414,96.60695,95.693,95.435,97.928,95.776
94.773,92.48716,94.818,94.717,91.452,93.504
94.647,94.23123,94.678,94.698,93.773,94.5
93.806,94.95392,93.78,93.854,96.2,94.483
94.216,94.62596,94.164,94.229,94.287,94.57
94.743,94.7067,94.787,94.707,95.189,94.633
95.096,94.69489,95.588,95.285,95.744,94.991
95.242,96.42273,95.502,95.251,97.924,95.699
95.242,96.45973,95.502,95.251,97.924,95.699
94.216,94.61549,94.164,94.229,94.287,94.57
95.242,96.37919,95.502,95.251,97.924,95.699
94.216,94.62399,94.164,94.229,94.287,94.57
94.698,94.86354,94.64,94.671,95.21,94.807
94.742,94.65699,94.661,94.702,93.242,94.735
94.589,95.73523,94.628,94.568,94.998,94.896
94.589,95.72911,94.628,94.568,94.998,94.896
94.216,94.62056,94.164,94.229,94.287,94.57
94.643,96.28509,94.83,94.643,97.182,94.875
95.242,96.37561,95.502,95.251,97.924,95.699
94.218,94.7064,94.174,94.233,99.43,94.591
94.216,94.59104,94.164,94.229,94.287,94.57
94.216,94.568,94.164,94.229,94.287,94.57
94.698,94.8462,94.64,94.671,95.21,94.807
94.152,93.04595,93.883,94.112,93.454,93.837
94.698,94.87701,94.64,94.671,95.21,94.807
94.589,95.70967,94.628,94.568,94.998,94.896
94.589,95.73517,94.628,94.568,94.998,94.896
94.589,95.76512,94.628,94.568,94.998,94.896
94.817,95.1784,94.85,94.806,96.388,95.006
93.806,94.97199,93.78,93.854,96.2,94.483
95.242,96.37761,95.502,95.251,97.924,95.699
95.242,96.41165,95.502,95.251,97.924,95.699
95.242,96.39844,95.502,95.251,97.924,95.699
94.739,95.09445,94.743,94.733,95.525,94.923
94.773,92.43548,94.818,94.717,91.452,93.504
95.091,94.64169,95.603,95.276,95.718,94.99
93.853,93.79784,93.702,93.809,92.998,93.711
94.216,94.58026,94.164,94.229,94.287,94.57
93.806,94.99467,93.78,93.854,96.2,94.483
94.643,96.3333,94.83,94.643,97.182,94.875
95.242,96.41142,95.502,95.251,97.924,95.699
95.242,96.41481,95.502,95.251,97.924,95.699
94.216,94.59955,94.164,94.229,94.287,94.57
95.242,96.40189,95.502,95.251,97.924,95.699
94.216,94.62815,94.164,94.229,94.287,94.57
94.683,95.02401,94.585,94.646,95.354,94.823
94.698,94.84332,94.64,94.671,95.21,94.807
93.847,93.69163,93.713,93.824,92.973,93.639
94.589,95.7708,94.628,94.568,94.998,94.896
93.867,94.79995,93.878,93.918,96.096,94.382
94.643,96.31952,94.83,94.643,97.182,94.875
95.242,96.43288,95.502,95.251,97.924,95.699
95.242,96.41433,95.502,95.251,97.924,95.699
95.242,96.43513,95.502,95.251,97.924,95.699
94.216,94.62713,94.164,94.229,94.287,94.57
94.698,94.85008,94.64,94.671,95.21,94.807
94.817,95.18207,94.85,94.806,96.388,95.006
94.589,95.71747,94.628,94.568,94.998,94.896
94.567,95.74999,94.595,94.53,95.039,94.885
94.643,96.32313,94.83,94.643,97.182,94.875
95.242,96.42493,95.502,95.251,97.924,95.699
93.806,94.96883,93.78,93.854,96.2,94.483
93.823,92.58505,93.827,93.83,92.031,93.324
95.119,96.18696,95.273,95.111,97.83,95.569
94.986,94.84285,95.212,95.048,94.664,94.911
94.698,94.84101,94.64,94.671,95.21,94.807
94.698,94.8304,94.64,94.671,95.21,94.807
93.847,93.65568,93.713,93.824,92.973,93.639
94.216,94.60148,94.164,94.229,94.287,94.57
94.562,94.46578,94.466,94.507,89.113,94.652
93.856,94.49572,93.862,93.886,95.598,94.414
93.806,95.00032,93.78,93.854,96.2,94.483
95.242,96.38542,95.502,95.251,97.924,95.699
95.242,96.40188,95.502,95.251,97.924,95.699
95.242,96.40494,95.502,95.251,97.924,95.699
94.698,94.82617,94.64,94.671,95.21,94.807
94.698,94.85436,94.64,94.671,95.21,94.807
93.847,93.686,93.713,93.824,92.973,93.639
94.216,94.56512,94.164,94.229,94.287,94.57
