GBLUP,EGBLUP,BayesA,BayesL,RF,RKHS
95.242,96.33054,95.449,95.408,98.086,95.929
95.242,96.29587,95.449,95.408,98.086,95.929
96.171,96.25151,96.311,96.303,99.641,95.975
95.319,96.30358,95.52,95.494,97.955,95.893
94.328,94.52619,94.364,94.317,94.171,94.493
94.739,95.09515,94.76,94.751,95.568,94.969
93.806,94.88674,93.877,93.821,96.322,94.508
94.589,95.55244,94.606,94.614,94.934,95.007
93.89,94.81797,94.014,93.918,96.141,94.525
94.643,96.1187,94.781,94.714,96.768,94.941
95.242,96.31465,95.449,95.408,98.086,95.929
95.723,95.95588,95.883,95.901,95.575,95.756
94.216,94.62373,94.207,94.215,94.296,94.623
95.181,96.18266,95.407,95.363,97.871,95.767
93.823,92.66243,93.889,93.859,91.979,93.167
94.216,94.60466,94.207,94.215,94.296,94.623
95.255,94.68729,95.708,95.725,94.332,95.018
94.742,94.68244,94.651,94.678,93.701,94.69
93.847,93.61684,93.775,93.764,92.902,93.625
94.216,94.59986,94.207,94.215,94.296,94.623
94.784,94.88151,94.766,94.77,92.356,94.871
95.242,96.33103,95.449,95.408,98.086,95.929
94.698,94.86742,94.645,94.659,95.255,94.791
94.767,94.47223,94.701,94.774,95.633,94.865
94.216,94.60255,94.207,94.215,94.296,94.623
95.242,96.30689,95.449,95.408,98.086,95.929
94.691,94.50443,94.458,94.479,91.813,94.466
94.776,94.90795,94.756,94.747,95.803,94.877
94.742,94.62255,94.651,94.678,93.701,94.69
93.847,93.6415,93.775,93.764,92.902,93.625
94.589,95.48275,94.606,94.614,94.934,95.007
95.215,95.12509,95.779,95.714,96.575,95.291
93.806,94.89437,93.877,93.821,96.322,94.508
95.097,96.10973,95.329,95.285,97.817,95.697
95.4,95.71616,95.404,95.469,96.839,95.566
94.452,95.16983,94.514,94.504,94.574,94.911
95.242,96.30734,95.449,95.408,98.086,95.929
94.216,94.61202,94.207,94.215,94.296,94.623
94.652,94.77192,94.618,94.613,95.239,94.713
94.698,94.82847,94.645,94.659,95.255,94.791
94.589,95.54859,94.606,94.614,94.934,95.007
94.216,94.56999,94.207,94.215,94.296,94.623
94.643,96.15302,94.781,94.714,96.768,94.941
95.024,95.84223,95.178,95.096,97.367,95.601
94.924,95.69061,95.063,95.047,94.345,95.346
95.242,96.34256,95.449,95.408,98.086,95.929
94.295,94.32371,94.53,94.442,94.899,94.15
94.216,94.58206,94.207,94.215,94.296,94.623
94.739,95.15179,94.76,94.751,95.568,94.969
94.698,94.85192,94.645,94.659,95.255,94.791
95.091,94.81574,95.54,95.544,95.706,95.03
94.567,95.52325,94.571,94.582,94.891,95.048
94.216,94.61486,94.207,94.215,94.296,94.623
94.739,95.1087,94.76,94.751,95.568,94.969
95.242,96.33914,95.449,95.408,98.086,95.929
95.242,96.30008,95.449,95.408,98.086,95.929
94.216,94.64489,94.207,94.215,94.296,94.623
94.216,94.62304,94.207,94.215,94.296,94.623
94.216,94.60858,94.207,94.215,94.296,94.623
94.698,94.85813,94.645,94.659,95.255,94.791
94.773,92.57095,94.754,94.76,91.773,93.239
94.698,94.85667,94.645,94.659,95.255,94.791
94.589,95.49785,94.606,94.614,94.934,95.007
94.216,94.59466,94.207,94.215,94.296,94.623
94.698,94.83589,94.645,94.659,95.255,94.791
93.806,94.91182,93.877,93.821,96.322,94.508
94.698,94.87849,94.645,94.659,95.255,94.791
93.823,92.63835,93.889,93.859,91.979,93.167
93.823,92.66585,93.889,93.859,91.979,93.167
94.216,94.58539,94.207,94.215,94.296,94.623
94.756,92.53433,94.711,94.745,91.666,93.225
94.664,93.1602,94.402,94.558,93.768,93.867
94.698,94.87804,94.645,94.659,95.255,94.791
94.589,95.46909,94.606,94.614,94.934,95.007
94.589,95.53261,94.606,94.614,94.934,95.007
94.739,95.1172,94.76,94.751,95.568,94.969
95.242,96.32936,95.449,95.408,98.086,95.929
95.242,96.35995,95.449,95.408,98.086,95.929
95.87,96.24561,96.074,96.052,96.22,95.952
95.067,95.26524,95.36,95.276,96.87,95.454
94.216,94.61487,94.207,94.215,94.296,94.623
95.073,94.75869,95.127,95.247,93.61,94.296
94.698,94.8453,94.645,94.659,95.255,94.791
94.654,94.47549,94.597,94.586,93.943,94.466
94.589,95.52026,94.606,94.614,94.934,95.007
94.589,95.48912,94.606,94.614,94.934,95.007
94.496,94.25393,94.327,94.417,95.052,94.476
95.242,96.33141,95.449,95.408,98.086,95.929
95.242,96.32566,95.449,95.408,98.086,95.929
95.242,96.30128,95.449,95.408,98.086,95.929
93.823,92.66166,93.889,93.859,91.979,93.167
94.216,94.63306,94.207,94.215,94.296,94.623
94.698,94.86588,94.645,94.659,95.255,94.791
94.698,94.87086,94.645,94.659,95.255,94.791
93.806,94.89753,93.877,93.821,96.322,94.508
93.847,93.63009,93.775,93.764,92.902,93.625
94.216,94.60467,94.207,94.215,94.296,94.623
94.703,95.95877,94.811,94.761,96.677,94.865
95.242,96.33413,95.449,95.408,98.086,95.929
94.698,94.88223,94.645,94.659,95.255,94.791
94.216,94.60682,94.207,94.215,94.296,94.623
93.823,92.68384,93.889,93.859,91.979,93.167
94.216,94.64155,94.207,94.215,94.296,94.623
94.773,92.52442,94.754,94.76,91.773,93.239
94.698,94.8665,94.645,94.659,95.255,94.791
93.806,94.87969,93.877,93.821,96.322,94.508
93.847,93.58569,93.775,93.764,92.902,93.625
94.589,95.536,94.606,94.614,94.934,95.007
94.643,96.14912,94.781,94.714,96.768,94.941
95.133,96.06682,95.314,95.252,97.694,95.777
94.839,94.34135,95.106,95.043,94.735,94.539
95.242,96.31322,95.449,95.408,98.086,95.929
95.242,96.34732,95.449,95.408,98.086,95.929
94.776,94.92678,94.756,94.747,95.803,94.877
94.23,93.3169,94.054,94.106,93.65,93.799
94.742,94.64152,94.651,94.678,93.701,94.69
94.589,95.52475,94.606,94.614,94.934,95.007
93.847,93.605,93.775,93.764,92.902,93.625
94.589,95.47242,94.606,94.614,94.934,95.007
94.643,96.12952,94.781,94.714,96.768,94.941
93.808,94.85277,93.887,93.838,96.033,94.51
95.242,96.31992,95.449,95.408,98.086,95.929
95.242,96.30916,95.449,95.408,98.086,95.929
95.242,96.3287,95.449,95.408,98.086,95.929
95.414,96.48413,95.619,95.647,98.151,96.002
94.773,92.57094,94.754,94.76,91.773,93.239
94.647,94.31477,94.578,94.687,93.778,94.336
93.806,94.88924,93.877,93.821,96.322,94.508
94.216,94.63355,94.207,94.215,94.296,94.623
94.743,94.59241,94.679,94.782,95.459,94.621
95.096,94.77862,95.553,95.534,95.741,95.04
95.242,96.30033,95.449,95.408,98.086,95.929
95.242,96.36483,95.449,95.408,98.086,95.929
94.216,94.63421,94.207,94.215,94.296,94.623
95.242,96.35813,95.449,95.408,98.086,95.929
94.216,94.6412,94.207,94.215,94.296,94.623
94.698,94.85604,94.645,94.659,95.255,94.791
94.742,94.65284,94.651,94.678,93.701,94.69
94.589,95.54753,94.606,94.614,94.934,95.007
94.589,95.51502,94.606,94.614,94.934,95.007
94.216,94.62046,94.207,94.215,94.296,94.623
94.643,96.18975,94.781,94.714,96.768,94.941
95.242,96.27361,95.449,95.408,98.086,95.929
94.218,94.68509,94.217,94.231,99.655,94.627
94.216,94.61495,94.207,94.215,94.296,94.623
94.216,94.5776,94.207,94.215,94.296,94.623
94.698,94.87487,94.645,94.659,95.255,94.791
94.152,93.20415,93.943,94.018,93.406,93.704
94.698,94.87216,94.645,94.659,95.255,94.791
94.589,95.52826,94.606,94.614,94.934,95.007
94.589,95.52566,94.606,94.614,94.934,95.007
94.589,95.50738,94.606,94.614,94.934,95.007
94.817,95.19233,94.872,94.839,96.427,95.053
93.806,94.88051,93.877,93.821,96.322,94.508
95.242,96.34896,95.449,95.408,98.086,95.929
95.242,96.38293,95.449,95.408,98.086,95.929
95.242,96.32215,95.449,95.408,98.086,95.929
94.739,95.07948,94.76,94.751,95.568,94.969
94.773,92.59335,94.754,94.76,91.773,93.239
95.091,94.79673,95.54,95.544,95.706,95.03
93.853,93.76211,93.733,93.742,92.898,93.681
94.216,94.60556,94.207,94.215,94.296,94.623
93.806,94.84385,93.877,93.821,96.322,94.508
94.643,96.1521,94.781,94.714,96.768,94.941
95.242,96.3147,95.449,95.408,98.086,95.929
95.242,96.3552,95.449,95.408,98.086,95.929
94.216,94.62933,94.207,94.215,94.296,94.623
95.242,96.31004,95.449,95.408,98.086,95.929
